baseline,epoch,train_loss,dev_loss,dev_avg_F1,dev_target_F1_human_damage,epoch_time_sec
B0_Conventional_Fusion,1,5.7133,4.9676,0.5491,0.3419,216.8
B0_Conventional_Fusion,2,3.2405,4.023,0.6668,0.5607,220.5
B0_Conventional_Fusion,3,1.7369,3.2349,0.7443,0.6779,221.4
B0_Conventional_Fusion,4,1.2123,2.8681,0.7724,0.7129,220.7
B0_Conventional_Fusion,5,0.9065,2.9963,0.797,0.7312,221.4
B0_Conventional_Fusion,6,0.7711,2.8117,0.7992,0.7395,221.2
B0_Conventional_Fusion,7,0.6465,2.8376,0.8216,0.763,221.0
B0_Conventional_Fusion,8,0.5886,3.1908,0.8146,0.741,221.3
B0_Conventional_Fusion,9,0.5347,3.0809,0.8082,0.7411,221.0
B0_Conventional_Fusion,10,0.4873,2.9738,0.8215,0.7588,220.5
B0_Conventional_Fusion,11,0.4607,3.0556,0.8262,0.7577,220.9
B0_Conventional_Fusion,12,0.4191,3.4235,0.8144,0.7498,220.8
B1_Vanilla_EDL,1,4.6922,5.1876,0.6286,0.4832,224.9
B1_Vanilla_EDL,2,1.7591,4.5661,0.7119,0.64,222.3
B1_Vanilla_EDL,3,1.1271,4.1958,0.7738,0.7096,222.7
B1_Vanilla_EDL,4,0.9113,3.9685,0.7805,0.7157,222.9
B1_Vanilla_EDL,5,0.7871,3.6689,0.8027,0.7297,222.3
B1_Vanilla_EDL,6,0.712,3.7835,0.818,0.7569,222.5
B1_Vanilla_EDL,7,0.6327,3.6932,0.8181,0.7584,222.8
B1_Vanilla_EDL,8,0.5708,3.7479,0.8181,0.7611,222.6
B1_Vanilla_EDL,9,0.5683,3.8548,0.8223,0.7574,222.4
B1_Vanilla_EDL,10,0.5449,3.9442,0.8249,0.7619,222.4
B1_Vanilla_EDL,11,0.5151,3.8572,0.8292,0.77,222.3
B1_Vanilla_EDL,12,0.5109,3.8629,0.8236,0.7613,222.9
B1_Vanilla_EDL,13,0.4763,3.9643,0.8305,0.7694,222.2
B1_Vanilla_EDL,14,0.4495,3.9221,0.8359,0.7789,222.5
B1_Vanilla_EDL,15,0.4284,4.2844,0.8245,0.7713,222.4
B2_EDL_UASG,1,4.0043,4.6651,0.6731,0.6182,223.5
B2_EDL_UASG,2,1.114,5.0111,0.7391,0.6831,223.5
B2_EDL_UASG,3,0.7477,4.2363,0.7815,0.7297,223.8
B2_EDL_UASG,4,0.6298,4.4476,0.7952,0.7319,223.4
B2_EDL_UASG,5,0.5848,3.9647,0.8074,0.755,223.2
B2_EDL_UASG,6,0.5306,4.3879,0.8147,0.7517,223.1
B2_EDL_UASG,7,0.5225,4.1457,0.8204,0.7645,223.2
B2_EDL_UASG,8,0.4906,4.2226,0.8197,0.7637,222.9
B2_EDL_UASG,9,0.4701,4.0326,0.8228,0.7685,223.3
B2_EDL_UASG,10,0.4548,4.2401,0.8203,0.7594,222.9
B2_EDL_UASG,11,0.4359,4.1813,0.8202,0.7653,222.7
B2_EDL_UASG,12,0.4292,4.613,0.8156,0.7581,222.8
B2_EDL_UASG,13,0.3979,4.4436,0.8215,0.7647,222.5
B2_EDL_UASG,14,0.3871,4.4098,0.8279,0.7722,222.7
B2_EDL_UASG,15,0.3688,4.9319,0.8188,0.7604,222.7
B3_EREM_UASG,1,3.7099,5.0121,0.6897,0.6271,225.9
B3_EREM_UASG,2,0.7895,5.4126,0.7297,0.6776,225.5
