model,task,class,precision,recall,f1-score,support
B0_Conventional_Fusion,human,0,0.35,0.71,0.47,49
B0_Conventional_Fusion,human,1,0.44,0.80,0.57,122
B0_Conventional_Fusion,human,2,0.76,0.90,0.82,49
B0_Conventional_Fusion,human,3,0.72,0.64,0.68,514
B0_Conventional_Fusion,human,4,0.72,0.56,0.63,689
B0_Conventional_Fusion,human,5,0.72,0.79,0.75,386
B0_Conventional_Fusion,human,accuracy,,,0.66,1809
B0_Conventional_Fusion,human,macro avg,0.62,0.74,0.65,1809
B0_Conventional_Fusion,human,weighted avg,0.69,0.66,0.67,1809
B0_Conventional_Fusion,damage,0,0.98,0.89,0.93,1453
B0_Conventional_Fusion,damage,1,0.18,0.29,0.22,35
B0_Conventional_Fusion,damage,2,0.28,0.55,0.37,92
B0_Conventional_Fusion,damage,3,0.62,0.66,0.64,229
B0_Conventional_Fusion,damage,accuracy,,,0.84,1809
B0_Conventional_Fusion,damage,macro avg,0.51,0.60,0.54,1809
B0_Conventional_Fusion,damage,weighted avg,0.88,0.84,0.85,1809
B1_Vanilla_EDL,human,0,0.51,0.47,0.49,49
B1_Vanilla_EDL,human,1,0.45,0.79,0.58,122
B1_Vanilla_EDL,human,2,0.77,0.90,0.83,49
B1_Vanilla_EDL,human,3,0.75,0.71,0.73,514
B1_Vanilla_EDL,human,4,0.72,0.62,0.67,689
B1_Vanilla_EDL,human,5,0.78,0.85,0.81,386
B1_Vanilla_EDL,human,accuracy,,,0.71,1809
B1_Vanilla_EDL,human,macro avg,0.67,0.72,0.68,1809
B1_Vanilla_EDL,human,weighted avg,0.72,0.71,0.71,1809
B1_Vanilla_EDL,damage,0,0.96,0.92,0.94,1453
B1_Vanilla_EDL,damage,1,0.19,0.31,0.24,35
B1_Vanilla_EDL,damage,2,0.43,0.38,0.40,92
B1_Vanilla_EDL,damage,3,0.64,0.77,0.70,229
B1_Vanilla_EDL,damage,accuracy,,,0.87,1809
B1_Vanilla_EDL,damage,macro avg,0.56,0.60,0.57,1809
B1_Vanilla_EDL,damage,weighted avg,0.88,0.87,0.87,1809
B2_EDL_UASG,human,0,0.34,0.57,0.42,49
B2_EDL_UASG,human,1,0.49,0.57,0.52,122
B2_EDL_UASG,human,2,0.75,0.86,0.80,49
B2_EDL_UASG,human,3,0.76,0.55,0.64,514
B2_EDL_UASG,human,4,0.66,0.65,0.66,689
B2_EDL_UASG,human,5,0.70,0.86,0.77,386
B2_EDL_UASG,human,accuracy,,,0.66,1809
B2_EDL_UASG,human,macro avg,0.61,0.68,0.63,1809
B2_EDL_UASG,human,weighted avg,0.68,0.66,0.66,1809
B2_EDL_UASG,damage,0,0.95,0.94,0.95,1453
B2_EDL_UASG,damage,1,0.20,0.26,0.23,35
B2_EDL_UASG,damage,2,0.41,0.38,0.40,92
B2_EDL_UASG,damage,3,0.68,0.71,0.70,229
B2_EDL_UASG,damage,accuracy,,,0.87,1809
B2_EDL_UASG,damage,macro avg,0.56,0.57,0.57,1809
B2_EDL_UASG,damage,weighted avg,0.88,0.87,0.87,1809
B3_EREM_UASG,human,0,0.42,0.16,0.24,49
B3_EREM_UASG,human,1,0.49,0.57,0.53,122
B3_EREM_UASG,human,2,0.78,0.82,0.80,49
B3_EREM_UASG,human,3,0.70,0.70,0.70,514
B3_EREM_UASG,human,4,0.69,0.60,0.64,689
B3_EREM_UASG,human,5,0.70,0.87,0.77,386
B3_EREM_UASG,human,accuracy,,,0.68,1809
B3_EREM_UASG,human,macro avg,0.63,0.62,0.61,1809
B3_EREM_UASG,human,weighted avg,0.68,0.68,0.67,1809
B3_EREM_UASG,damage,0,0.96,0.93,0.94,1453
B3_EREM_UASG,damage,1,0.21,0.29,0.24,35
B3_EREM_UASG,damage,2,0.38,0.37,0.38,92
B3_EREM_UASG,damage,3,0.66,0.73,0.69,229
B3_EREM_UASG,damage,accuracy,,,0.87,1809
B3_EREM_UASG,damage,macro avg,0.55,0.58,0.56,1809
B3_EREM_UASG,damage,weighted avg,0.88,0.87,0.87,1809
B4_EREM_ConventionalAttention,human,0,0.24,0.08,0.12,49
B4_EREM_ConventionalAttention,human,1,0.47,0.53,0.50,122
B4_EREM_ConventionalAttention,human,2,0.70,0.88,0.78,49
B4_EREM_ConventionalAttention,human,3,0.71,0.63,0.66,514
B4_EREM_ConventionalAttention,human,4,0.65,0.65,0.65,689
B4_EREM_ConventionalAttention,human,5,0.69,0.80,0.74,386
B4_EREM_ConventionalAttention,human,accuracy,,,0.66,1809
B4_EREM_ConventionalAttention,human,macro avg,0.58,0.59,0.58,1809
B4_EREM_ConventionalAttention,human,weighted avg,0.65,0.66,0.65,1809
B4_EREM_ConventionalAttention,damage,0,0.96,0.92,0.94,1453
B4_EREM_ConventionalAttention,damage,1,0.24,0.26,0.25,35
B4_EREM_ConventionalAttention,damage,2,0.37,0.39,0.38,92
B4_EREM_ConventionalAttention,damage,3,0.59,0.73,0.65,229
B4_EREM_ConventionalAttention,damage,accuracy,,,0.86,1809
B4_EREM_ConventionalAttention,damage,macro avg,0.54,0.58,0.56,1809
B4_EREM_ConventionalAttention,damage,weighted avg,0.87,0.86,0.86,1809
