epoch,train_loss,val_loss,train_wF1_4avg,val_wF1_4avg,val_wF1_target_human_damage,best_target_wF1,epoch_time_sec,val_wF1_event,val_wF1_info,val_wF1_human,val_wF1_damage
1,13.1353,11.6923,0.4564,0.3873,0.2503,0.2503,232,0.3747,0.674,0.0215,0.4791
2,11.3824,11.1083,0.5942,0.5482,0.3614,0.3614,233,0.7525,0.7175,0.0641,0.6586
3,10.574,10.673,0.6644,0.5733,0.4281,0.4281,310,0.7096,0.7274,0.1214,0.7348
4,9.6254,9.9903,0.7207,0.6486,0.5462,0.5462,312,0.7489,0.753,0.3322,0.7602
5,8.4045,9.102,0.7835,0.6795,0.5396,0.5462,309,0.8317,0.8072,0.3292,0.75
6,6.8979,7.7963,0.8419,0.7524,0.6343,0.6343,311,0.9387,0.8023,0.472,0.7965
7,5.4924,7.0974,0.8882,0.7636,0.6592,0.6592,311,0.9041,0.8317,0.5122,0.8063
8,4.4731,6.6206,0.913,0.785,0.685,0.685,311,0.9362,0.8338,0.5785,0.7915
9,3.6739,6.3321,0.9292,0.7986,0.7007,0.7007,312,0.9491,0.844,0.5944,0.8069
10,2.963,6.3543,0.9434,0.7886,0.6898,0.7007,309,0.9375,0.8371,0.5693,0.8103
11,2.4,5.7994,0.9499,0.8255,0.7409,0.7409,311,0.9726,0.8477,0.6551,0.8267
12,1.8763,5.6543,0.9562,0.83,0.7538,0.7538,310,0.9653,0.847,0.6676,0.84
13,1.4279,5.6842,0.9623,0.8248,0.7447,0.7538,307,0.9602,0.8498,0.6496,0.8398
14,0.9743,5.2834,0.9645,0.8345,0.7582,0.7582,311,0.9693,0.8522,0.6783,0.8381
15,0.6104,5.4659,0.9678,0.8366,0.7626,0.7626,312,0.9757,0.8457,0.6746,0.8505
16,0.2422,5.6407,0.9718,0.8295,0.7471,0.7626,310,0.9695,0.8544,0.6517,0.8425
17,-0.1937,5.6375,0.9715,0.8292,0.7609,0.7626,309,0.9447,0.8502,0.6691,0.8528
18,-0.4918,5.6668,0.9763,0.8353,0.7622,0.7626,309,0.9718,0.8449,0.6844,0.8399
19,-0.8224,5.7903,0.9773,0.8367,0.7625,0.7626,309,0.9689,0.8528,0.6867,0.8384
20,-1.1187,5.9964,0.9783,0.83,0.7481,0.7626,308,0.974,0.8499,0.6505,0.8457
21,-1.4143,5.9689,0.9802,0.8379,0.7663,0.7663,310,0.9715,0.8477,0.6887,0.8439
22,-1.7517,6.2874,0.9815,0.8377,0.7674,0.7674,311,0.9679,0.848,0.6823,0.8525
23,-1.9404,6.298,0.9827,0.8361,0.7664,0.7674,309,0.9546,0.8571,0.6885,0.8443
24,-2.1408,6.2316,0.9834,0.8418,0.7765,0.7765,312,0.9708,0.8434,0.7033,0.8498
25,-2.3786,6.0845,0.9837,0.8499,0.7867,0.7867,313,0.9797,0.8465,0.7184,0.8549
26,-2.6346,6.8861,0.9857,0.8357,0.7737,0.7867,312,0.9432,0.8522,0.7017,0.8458
27,-2.7015,6.5563,0.9851,0.8462,0.775,0.7867,310,0.9822,0.8525,0.6952,0.8547
28,-2.957,7.1527,0.9869,0.8393,0.7659,0.7867,311,0.9765,0.849,0.6789,0.8529
29,-3.0918,6.8727,0.9869,0.8493,0.7849,0.7867,321,0.9749,0.8523,0.7145,0.8552
30,-3.2581,7.1384,0.9876,0.8487,0.7863,0.7867,333,0.9739,0.8483,0.7215,0.8511
31,-3.3659,7.061,0.9883,0.8536,0.7934,0.7934,344,0.9765,0.8511,0.7301,0.8566
32,-3.4868,7.3328,0.9889,0.847,0.7866,0.7934,340,0.9692,0.8455,0.7151,0.8581
33,-3.5853,7.2507,0.9891,0.8452,0.7812,0.7934,327,0.9749,0.8436,0.7078,0.8545
34,-3.6758,7.4379,0.9899,0.8484,0.7802,0.7934,316,0.9787,0.8544,0.7047,0.8557
35,-3.7447,7.549,0.9905,0.8404,0.777,0.7934,314,0.9733,0.8342,0.6994,0.8546
36,-3.8166,7.7016,0.9907,0.8527,0.788,0.7934,314,0.9782,0.8568,0.7207,0.8552
37,-3.8777,7.6086,0.991,0.8535,0.7917,0.7934,322,0.9808,0.8497,0.7264,0.857
38,-3.9287,7.5922,0.9919,0.8514,0.7891,0.7934,317,0.9793,0.8482,0.7251,0.8532
39,-3.9533,7.7411,0.9922,0.8518,0.7862,0.7934,317,0.9792,0.8556,0.7172,0.8553
40,-3.9472,7.7099,0.9915,0.8516,0.7864,0.7934,313,0.9797,0.854,0.7206,0.8521
41,-3.9894,7.7243,0.9919,0.8498,0.7818,0.7934,312,0.9813,0.8544,0.7122,0.8514
